task	path	verb
T23	.claude/no_code_in_state.sh	CREATE
T23	.claude/assert_from_main.sh	CREATE
T23	scripts/supervisor/install-claude-hooks.sh	CREATE
T23	scripts/supervisor/uninstall-claude-hooks.sh	CREATE
T23	tests/supervisor/test_hook_wiring.sh	CREATE
T23	tests/supervisor/test_check_stop_authorized.sh	CREATE
T23	tests/supervisor/test_check_quote_policy.sh	CREATE
T23	tests/supervisor/test_no_code_in_state.sh	CREATE
T23	tests/supervisor/test_assert_from_main.sh	CREATE
T24	docs/decisions/s4-public-remediation.md	CREATE
T25	scripts/supervisor/core.py	MODIFY
T25	tests/supervisor/test_core.py	MODIFY
T25	tests/supervisor/test_core_interrogative_trigger.py	CREATE
T26	scripts/supervisor/itemize_prompts.py	MODIFY
T26	tests/supervisor/test_itemize_prompts.py	MODIFY
T27	scripts/supervisor/corpus-backup.sh	CREATE
T27	scripts/supervisor/corpus-repair.sh	CREATE
T27	scripts/supervisor/mine_prompts.py	MODIFY
T27	tests/supervisor/test_corpus_backup.sh	CREATE
T27	tests/supervisor/test_corpus_repair.sh	CREATE
T27	docs/decisions/corpus-repair-authorisation.md	CREATE
T28	scripts/supervisor/check_corpus_verbatim.py	CREATE
T28	tests/supervisor/test_check_corpus_verbatim.py	CREATE
T28	.github/workflows/corpus-verbatim.yml	CREATE
T29	scripts/supervisor/link_comparator.py	CREATE
T29	tests/supervisor/test_link_comparator.py	CREATE
T29	.github/workflows/links-nonempty.yml	CREATE
T30	scripts/supervisor/quota-watch.sh	MODIFY
T30	scripts/supervisor/quota-standdown.sh	CREATE
T30	tests/supervisor/test_quota_standdown.sh	CREATE
T30	tests/supervisor/test_quota_watch_blind_alarm.sh	MODIFY
T31	scripts/supervisor/dispatch.sh	MODIFY
T31	scripts/supervisor/dispatch-claude-print.sh	MODIFY
T31	tests/supervisor/test_dispatch.sh	MODIFY
T31	tests/supervisor/test_dispatch_quiesce.sh	CREATE
T32	AGENTS.md	MODIFY
T32	scripts/supervisor/check_refusal_actuator.py	CREATE
T32	tests/supervisor/test_check_refusal_actuator.py	CREATE
T32	.github/workflows/refusal-actuator.yml	CREATE
T33	scripts/supervisor/check_machinery_ratio.py	CREATE
T33	tests/supervisor/test_check_machinery_ratio.py	CREATE
T33	.github/workflows/machinery-ratio.yml	CREATE
T33	docs/decisions/product-first.md	CREATE
T34	docs/decisions/unenforceable-rules.md	CREATE
T34	docs/decisions/deferrals.md	CREATE
T34	docs/decisions/contested-measurements.md	CREATE
T34	docs/decisions/jon-decides.md	CREATE
T35	tests/supervisor/test_evidence_labels.py	CREATE
